pos,pos+,artist,title,days,pk_,(x),streams,streams+,7day,7day+,total
1,=,Ariana Grande,we can't be friends (wait for your love),11,1,(x9),8764794,996838,62301770,-342152,90071696
2,1,Benson Boone,Beautiful Things,60,1,(x25),7771487,778140,55215376,545519,333252910
3,-1,Djo,End of Beginning,31,2,(x3),7758582,739226,53563110,707133,157675860
4,=,¥$,CARNIVAL,33,1,(x1),5612593,584102,40363511,-362980,190014759
5,=,Tate McRae,greedy,186,1,(x34),4638101,368406,33985582,-440378,926565731
6,=,Teddy Swims,Lose Control,124,5,,4607259,378552,32824712,313631,340622840
7,=,Taylor Swift,Cruel Summer,407,2,(x18),4355386,347159,31508987,-165525,1447105643
8,=,FloyyMenor,Gata Only,38,8,,4079221,138912,28996799,262844,111270142
9,=,The Weeknd,One Of The Girls,163,2,(x2),3856558,266887,27267481,-224668,528411083
10,1,Mitski,My Love Mine All Mine,182,2,(x4),3709064,316084,24850632,15038,688471096
11,-1,Beyoncé,TEXAS HOLD 'EM,36,1,(x2),3615351,130410,28362974,-348788,175482749
12,1,Noah Kahan,Stick Season,161,6,,3463636,314044,24141294,34872,473059111
13,-1,Xavi,La Diabla,102,1,(x21),3331535,-49535,24581824,-143234,445897476
14,2,Feid,LUNA,105,7,,3229926,222506,23346929,109607,339349087
15,=,Ariana Grande,yes and?,67,1,(x8),3112507,47600,26806404,-1733065,267347693
16,1,Ariana Grande,the boy is mine,11,9,,3041150,304288,22893838,-1067485,39723757
17,1,SZA,Saturn,25,12,,3025751,336912,21002171,-146317,75628581
18,-4,V,FRI(END)S,4,7,,3014125,-128294,14375064,3014125,14375064
19,=,21 Savage,redrum,67,6,,3005901,317877,21711619,-211586,248802351
20,=,Travis Scott,FE!N,190,3,(x1),2810060,181352,20798358,-247914,373874928
21,8,Zeynep Bastık,Lan,5,21,,2639983,425589,10133688,2639983,10133688
22,=,Arctic Monkeys,I Wanna Be Yours,621,11,,2609954,121940,18442582,-180327,1442852469
23,-2,Natanael Cano,Madonna,10,21,,2586792,72272,17998812,427178,24007477
24,-1,Jack Harlow,Lovin On Me,130,2,(x8),2576504,122807,19608634,-272583,505542762
25,=,Natasha Bedingfield,Unwritten,68,14,,2537302,202612,18880812,-356447,177419062
26,5,Billie Eilish,"What Was I Made For? [From The Motion Picture ""Barbie""]",250,2,(x6),2427804,247954,18000077,-341041,703540573
27,1,Dua Lipa,Houdini,130,2,(x1),2423994,188787,18074160,-46800,329973788
28,7,Lord Huron,The Night We Met,595,24,,2419945,260188,16334365,33868,738305840
29,-3,Myke Towers,LA FALDA,83,20,,2393082,75268,18058271,-20850,168468095
30,=,Jung Kook,Seven,249,1,(x71),2386718,179522,16710102,21667,1298631252
31,3,Ariana Grande,bye,11,7,,2385974,215114,19937303,-1552406,36890849
32,9,Dua Lipa,Training Season,32,7,,2377895,310794,17094058,36435,87539583
33,3,Ariana Grande,eternal sunshine,11,10,,2365098,229068,18951738,-1473261,35140958
34,-7,Tyla,Water,182,8,,2333240,90676,17024386,-3471,474330892
35,-11,Xavi,La Víctima,118,6,,2327427,-55199,17480371,-64333,327932621
36,-3,YG Marley,Praise Jah In The Moonlight,53,10,,2325766,153610,17352835,-342762,154623862
37,6,Michael Marcagi,Scared To Start,49,37,,2324666,284329,16168138,337366,78219696
38,-1,Kenya Grace,Strangers,200,3,(x1),2286336,178265,16519218,-17995,626005263
39,1,Zach Bryan,I Remember Everything,206,13,,2273759,196123,16030508,56039,447782766
40,6,Bryson Tiller,Whatever She Wants,29,31,,2233944,246217,15353792,-158675,56671223
41,-9,Bad Bunny,PERRO NEGRO,158,3,(x1),2200062,23880,16695369,-113884,522925022
42,-3,The Weeknd,Starboy,1362,1,(x40),2194581,113929,15785954,-65360,2311694768
43,1,Jung Kook,Standing Next to You,136,1,(x3),2133070,102886,15081538,70402,391194211
44,1,The Weeknd,Popular,291,10,,2102717,75508,15425074,-117131,661604305
45,6,Ariana Grande,intro (end of the world),11,14,,2078467,224359,15599726,-950243,29219857
46,-8,Jimin,Like Crazy,357,1,(x1),2072682,-19345,14416484,103080,721661371
47,5,Sabrina Carpenter,Feather,108,31,,2032046,187936,14663520,81839,201734253
